poem_number,poet,original_japanese,original_romaji,dickens_text_1866,noguchi_text_1907,porter_text_1909,maccauley_text_1917
49,Onakatomi Yoshinobu Ason,"みかき守
衛士のたく火の
夜はもえ
昼は消えつつ
物をこそおもへ","Mikakimori
Eji no taku hi no
Yoru wa moe
Hiru wa kie tsutsu
Mono o koso omoe","The' Mikaki-mori through the night
(And men the warder Yeji name)
The watch-fire's blaze keeps full and bright;
When morning breaks, then dies the flame:
So, too, at dawn
My happiness is past and gone.","Through the night the Mikakimori guards
Burn the fire: Oh, my heart!
But the fire will die in day:
Oh, my dying thought!","My constancy to her I love
I never will forsake;
As surely as the Palace Guards
Each night their watch-fire make
And guard it till daybreak.","Like the warder's fires
At the Imperial gateway kept,--
Burning through the night,
Through the day in ashes dulled,--
Is the love aglow in me."
50,Fujiwara no Yoshitaka,"君がため
惜しからざりし
命さへ
ながくもがなと
おもひけるかな","Kimi ga tame
Oshi karazarishi
Inochi sae
Nagaku mo gana to
Omoi keru kana","Ere I, O maid! had worshipped thee,
A drear uncared-for life was mine:---
O may long years be granted me
Now that my heart, O maid, is thine!","For thee, I thought,
I would not mind about my life:
But I pray now to be
Given the longest life.","Death had no terrors, Life no joys,
Before I met with thee;
But now I fear, however long
My life may chance to be,
’Twill be too short for me!","For thy precious sake,
Once my (eager) life itself
Was not dear to me.
But 'tis now my heart's desire
It may long, long years endure."
51,Fujiwara no Sanekata Ason,"かくとだに
えやはいぶきの
さしも草
さしも知らじな
もゆる思ひを","Kaku to dani
Eyawa ibuki no
Sashimogusa
Sashimo shiraji na
Moyuru omoi o","To tell thee of my love were vain,
Its depth to me is scarcely known:
As writhes the flesh 'neath Moxa's pain,
The moxa on Ibuki grown,
So madly writhes my spirit 'mong
Love's flames, ere now unknown, sore wrung.","How could I tell thee
My burning heart?
(Ah, my heart burning as under
An Ibuki Moxa’s sting!).","Though love, like blisters made from leaves
Grown on Mount Ibuki,
Torments me more than I can say,
My lady shall not see,
How she is paining me.","That, 'tis as it is,
How can I make known to her?
So, she may n'er know
That the love I feel for her
Like Ibuki's moxa burns."
52,Fujiwara no Michinobu Ason,"明けぬれば
暮るるものとは
知りながら
なをうらめしき
あさぼらけかな","Akenureba
Kururu mono to wa
Shiri nagara
Nao urameshiki
Asaborake kana","When day breaks, tho' full well I know
The darkness of the ensuing night
The hated day shall overthrow:
Yet aye the daylight I do hate,
And bitterly mourn
Th' unwelcome breaking of the dawn.","Day will be followed by
The darkness of night when I shall meet thee,
And yet I do hate
The breaking of dawn.","Although I know the gentle night
Will surely follow morn,
Yet, when I'm wakened by the sun,
Turn over, stretch and yawn—
How I detest the dawn!","Though I know full well
That the night will come again
E'en when day has dawned,
Yet, in truth, I hate the sight
Of the morning's coming light."
53,Mother of Udaisho Michitsuna,"なげきつつ
ひとりぬる夜の
明くる間は
いかに久しき
ものとかは知る","Nageki tsutsu
Hitori nuru yo no
Akuru ma wa
Ikani hisashiki
Mono to ka wa shiru","I have watched weeping through the night,
Deserted, desolate, alone
Till now hath broke the morning light
I almost deemed for ever gone,
So slowly by
The creeping hours seemed to hie.","What a long time
To the dawn
When I weep through the night,
And sleep alone!","All through the long and dreary night
I lie awake and moan;
How desolate my chamber feels,
How weary I have grown
Of being left alone!","Sighing all alone,
Through the long watch of the night,
Till the break of day:--
Can you realize at all
What a tedious thing it is?"
54,Mother of Gido Sanshi,"忘れじの
行末までは
難ければ
今日を限りの
命ともがな","Wasureji no
Yukusue made wa
Katakereba
Kyo o kagiri no
Inochi to mo gana","To keep the vows that lovers swear
Of faithfulness and constancy
Through life till death end worldly care,
O'ertasketh human frailty,
I trow. To-day
I'd fain my spirit fled away.","To vow for the future long
With faith and unforgetfulness would be
Too hard. Oh, I pray,
To-day, to have my life done!","How difficult it is for men
Not to forget the past!
I fear my husband's love for me
Is disappearing fast;
This day must be my last.","If ""not to forget""
Will for him in future years
Be too difficult;--
It were well this very day
That my life, ah me! should close."
55,Dainagon Kinto,"滝の音は
絶えて久しく
なりぬれど
名こそ流れて
なほ聞えけれ","Taki no oto wa
Taete hisashiku
Narinuredo
Na koso nagarete
Nao kikoe kere","The noisy play of the waterfall
Hath ceased long ago,
Yet aye shall men its fame recall,
Tho' none now list its flow.","’Tis long time now since.
The waterfall ceased its voice,
But the fame does run,
And is to be heard still.","This waterfall's melodious voice
Was famed both far and near;
Although it long has ceased to flow,
Yet still with memory's ear
Its gentle splash I hear.","Though the waterfall
In its flow ceased long ago,
And its sound is stilled;
Yet, in name it ever flows,
And in fame may yet be heard."
56,Isumi Shikibu,"あらざらむ
この世の外の
思ひ出に
今ひとたびの
逢ふこともがな","Arazaran
Kono yo no hoka no
Omoide ni
Ima hitotabi no
Au koto mo gana","Ere long for me this world shall end,
Thus doth my mind to me foretell;
Ere long to other world shall wend
My soul that thee hath lov'd so well.
Ah! would that thou
But once more wer't beside me now.","Who knows when I shall die!
Oh, for pity’s sake,
I pray to see thee
Once more!","My life is drawing to a close,
I cannot longer stay,
A pleasant memory of thee
I fain would take away;
So visit me, I pray.","Soon I cease to be;--
One fond memory I would keep
When beyond this world.
Is there, then, no way for me
Just once more to meet with thee?"
57,Murasaki Shikibu,"めぐりあひて
見しやそれとも
わかぬ間に
雲がくれにし
夜半の月かげ","Meguri aite
Mishi ya sore to mo
Wakanu ma ni
Kumo-gakure ni shi
Yowa no tsuki kage","I ventured forth one moonlight night,
And then saw some one hastening past,
Ere I could tell who 'twas aright,
With dark clouds was the moon o'ercast
Whose pallid ray
O'er the middle night held tranquil sway.","I met him by chance
And I parted from him ere I could tell
Who he was. Alas, passed in the cloud
The midnight moon!","I wandered forth this moonlight night,
And some one hurried by;
But who it was I could not see,—
Clouds driving o'er the sky
Obscured the moon on high..","Meeting in the way--,
While I can not clearly know
If 'tis friend or not;--
Lo! the midnight moon, ah me!
In a cloud has disappeared."
58,Daini no Sanmi,"ありま山
猪名の笹原
風吹けば
いでそよ人を
忘れやはする","Arimayama
Ina no sasawara
Kaze fukeba
Ide soyo hito o
Wasure ya wa suru","More fickle thou than th' winds that pout
Down Arima o'er Ina's moor,
And still my love for thee as yet
I have forgotten to forget.","(The wind may blow
From Arima Hill and Inano bamboo bush.)
Ah, passing wind of thy love!
But how could one forget thee!","As fickle as the mountain gusts
That on the moor I've met,
’Twere best to think no more of thee,
And let thee go. But yet
I never can forget.","If Mount Arima
Sends his rustling winds across
Ina's bamboo-plains;--
Well! in truth, tis as you say;
Yet how can I e'er forget?"
59,Akazome Yemon,"やすらはで
寝なまし物を
小夜更けて
かたぶくまでの
月を見しかな","Yasurawade
Nenamashi mono o
Sayo fukete
Katabuku made no
Tsuki o mishi kana","I wait thy coming, love--repose
Veils not mine eyes--far in the night
I watch the moon till nigh the close
Of her celestial path of light.","I should not wait for him,
But go to sleep. Alas, I have been gazing
Upon the moon in deep night
Till she begins to fall.","Waiting and hoping for thy step,
Sleepless in bed I lie,
All through the night, until the moon,
Leaving her post on high,
Slips sideways down the sky.","Better to have slept
Care-free, than to keep vain watch
Through the passing night,
Till I saw the lonely moon.
Traverse her descending path."
60,Koshikibu no Naishi,"大江山
いく野の道の
とほければ
まだふみも見ず
天の橋立","Oeyama
Ikuno no michi no
To kereba
Mada fumi mo mizu
Ama no Hashidate","The road the crosseth o'er the plain
Towards Ikuno's full long for thee,
The road that far away doth gain
The distant range of Ohoye:
At Ama-no-hashi-date e'en
Thy footsteps yet yath no one seen.","’Tis far away to Ohoye mountain,
And to Ikuno plain. I have never stepped
In Ama no Hashidate yet.
(Alas, no letter I have seen!)","So long and dreary is the road,
That I have never been
To Ama-no-Hashidate;
Pray, how could I have seen
The verses that you mean?","As, by Oe's mount
And o'er Iku's plain, the way
Is so very far,--
I have not yet even seen
Ama-no-hashidate."
61,Ise no Osuke,"いにしへの
奈良の都の
八重桜
今日九重に
匂ひぬるかな","Inishie no
Nara no miyako no
Yae-zakura
Kyo kokonoe ni
Nioi nuru kana","Of old the Yahezak'ra lent
To Nara, capital of yore,
Its fragrancy, and now its scent
Hath spread our Kokonohe o'er","’Tis the eight-holded cherry blossom
Of Nara capital of yore:
To-day in this nine-folded palace
It will shed its perfume.","The double cherry trees, which grew
At Nara in past days,
Now beautify this Palace, and
Their blossoms all ablaze
Perfume the royal ways.","Eight-fold cherry flowers
That at Nara,--ancient seat
Of Our State,--have bloomed;--
In Our Nine-fold Palace court
Shed their sweet perfume today"
62,Seisho Nagon,"夜をこめて
鳥の空音は
はかるとも
よにあふさかの
関はゆるさじ","Yo o komete
Tori no sorane wa
Hakaru tomo
Yo ni Osaka no
Seki wa yurusaji","Tho' thou, the guardians of the gate
Of Kan-kok'-kan, with false cock-crow,
Might'st cheat, and thus anticipate
The morn, thou ne'er canst cheat, I trow,
Ausaka's gate, that thee
Shall keep until the morning be.","Thou might’st try to cheat me,
With the false voice of a bird,
But the Ausaka gate
Shall not allow thee in","Too long to-night you've lingered here,
And, though you imitate
The crowing of a cock, 'twill not
Unlock the tollbar gate;
Till daylight must you wait.","Though in middle night,
By the feigned crow of the cock,
Some may be deceived;--
Yet, at Ausaka's gate
This can never be achieved."
63,Sakyo no Tayu Nichimasa,"今はただ
思ひ絶えなむ
とばかりを
人づてならで
いふよしもがな","Ima wa tada
Omoi taenan
To bakari wo
Hito-zute nara de
Iu yoshi mo gana","Now doth deep misery oppress
My vex'd and sorrow'd mind
To none will I my woe confess,
Save thee, among mankind:
With thee I seek
Of all my wretchedness to speak.","Alas, there’s no way
But to ask one to tell thee
That we will try
To forget.","If we could meet in privacy,
Where no one else could see,
Softly I'd whisper in thy ear
This little word from me—
'I'm dying, Love, for thee.'","Is there now no way,
But through others' lips, to say
These so fateful words,--
That, henceforth, my love for you
I must banish from my thoughts?"
64,Gonchunagon Sadayori,"朝ぼらけ
宇治の川ぎり
たえだえに
あらはれわたる
ぜぜの網代木","Asaborake
Uji no kawagiri
Tae-dae ni
Araware wataru
Zeze no ajirogi","By th' dim grey light of early dawn
I stray'd by Uji's wave,
From whence the rifting mist upborne
Me scattered glimpses gave
Of Zeze's stakes there set,
Whereon the fisher spreads his net.","From amid the Uji river the mists fade
At early morn,
The fisher’s net stakes begin
To appear, here and there.","So thickly lies the morning mist,
That I can scarcely see
The fish-nets on the river bank,
The River of Uji,
Past daybreak though it be.","Lo! at early dawn,
When the mists o'er Uji's stream
Slowly lift and clear,
And the net-stakes on the shoals,
Near and far away, appear!"
65,Sagami,"恨みわび
ほさぬ袖だに
あるものを
恋に朽ちなん
名こそ惜しけれ","Urami wabi
Hosanu sode da ni
Aru mono o
Koi ni kuchinan
Na koso oshi kere","Despised, I weep thy long neglect,
My tears drench my sleeve,
The happiness of my life is wrecked
In struggles to achieve
Thy stubborn love:
My fate might all men's pity move.","From my resentment, in tears
My sleeves are drenched.
What a shame to ruin my name
In such an empty love!","Be not displeased, but pardon me,
If still my tears o’erflow;
My lover's gone, and my good name,
Which once I valued so,
I fear must also go.","Even when my sleeves,
Through my hate and misery,
Never once are dry,--
For such love my name decays:--
How deplorable my lot!"
66,Saki no Daisojo Gyoson,"もろともに
哀れと思へ
山桜
花より外に
知る人もなし","Morotomo ni
Aware to omoe
Yama-zakura
Hana yori hoka ni
Shiru hito mo nashi","With thee, O mountain Sakura tree!
A lonely fate I moan,
Thy blossom only cheers me--
The only friend I own.","Be sad with me,
Oh, mountain cherry blossom!
I have no one
Knows my heart but thee","In lonely solitude I dwell,
No human face I see;
And so we two must sympathize,
Oh mountain cherry tree;
I have no friend but thee.","Let us, each for each
Pitying, hold tender thought,
Mountain-cherry flower!
Other than thee, lonely flower,
There is none I know as friend."
