poem_number,poet,original_japanese,original_romaji,dickens_text_1866,noguchi_text_1907,porter_text_1909,maccauley_text_1917
77,Shutokuin,"瀬をはやみ
岩にせかるる
滝川の
われても末に
逢はむとぞ思ふ","Se o hayami
Iwa ni sekaruru
Takigawa no
Warete mo sue ni
Awan to zo omou","The brawling strem against the rock
Its tumbling waters fiercely hurls,
Divided by the furious shock,
In double torret onwards whirls:
In further flow
I trow a single stream 'twill show.","Like a hurrying, rock-hurling mountain stream
I wish to be: its double torrents
Will meet in the end.
Oh the way of love!","The rock divides the stream in two,
And both with might and main
Go tumbling down the waterfall;
But well I know the twain
Will soon unite again.","Though a swift stream be
By a rock met and restrained
In impetuous flow,
Yet, divided, it speeds on,
And at last unites again."
78,Minamoto no Kanemasa,"淡路島
かよふ千鳥の
なく声に
いくよねざめぬ
すまの関守","Awaji shima
Kayou chidori no
Naku koe ni
Ikuyo nezamenu
Suma no sekimori","'Tween Awaji and Suma fly
The screaming sea-birds to and fro
Night after night; their ceaseless cry
Doth scarce a moment's sleep allow,
To whom his fate
Allots the ward of Suma's gate.","By the cry of the plovers
That frequent Awazi Isle,
How many nights art thou awakened,
Guard of the Suma gate?","Between Awaji and the shore
The birds scream in their flight
Full oft they've made the Suma Guard
Toss through a sleepless night,
Until the morning light.","Guard of Suma's Gate,
From your sleep, how many nights
Have you waked at cries
Of the plaintive sanderlings,
Migrant from Awaji's isle?"
79,Sakyo no Tayu Akisuko,"秋風に
たなびく雲の
たえまより
もれ出づる月の
かげのさやけさ","Akikaze ni
Tanabiku kumo no
Taema yori
More izuru tsuki no
Kage no sayakesa","When bloweth autumn's chilly blast,
Through rifts at times the moonbeams peep,
From 'mid the dark clouds drifting past,
And earth in pallid radiance steep,
I love to see
The bright-edged shadows o'er the lea.","From the rifts of the clouds
Drifting abroad in the Autumn wind,
What a clear shadow
Of the peeping moon!","See how the wind of autumn drives
The clouds to left and right,
While in between the moon peeps out,
Dispersing with her light
The darkness of the night.","See, how clear and bright
Is the moon-light finding ways
'Mong the riven clouds
That, with drifting autumn-wind,
Gracefully float o'er the sky!"
80,Taiken Monin Horikawa,"長からむ
心もしらず
黒髪の
みだれてけさは
物をこそ思へ","Nagakaran
Kokoro mo shirazu
Kurokami no
Midarete kesa wa
Mono o koso omoe","I fear me thou wilt break the pact
Thou mad'st with me--thy love will pass
Away from me, whom thought distract,
As tangled as the unkempt mass
My raven tresses show,
That o'er my waking pillow flow.","My heart, I pray,
To last long. Ah, this tangle
of the black tresses of mine!
Ah, my anxiety of this morn!","My doubt about his constancy
Is difficult to bear;
Tangled this morning are my thoughts,
As is my long black hair.
I wonder—Does he care?","If it be for aye
That he wills our love should last?
Ah! I do not know!
And this morn my anxious thoughts,
Like my black hair, are confused."
81,Gotoku Daiji Sadaijin,"ほととぎす
鳴きつる方を
眺むれば
ただ有明の
月ぞのこれる","Hototogisu
Nakitsuru kata o
Nagamureba
Tada ariake no
Tsuki zo nokoreru","I heard the Hototogis cry,
I searched throughout the echoing sky,
No Hototogis could espy,
The morning moon but met my eye.","Behold
The sky where the cuckoo sung!
There remains
Only the morning moon.","The cuckoo's echo dies away,
And lo! the branch is bare
I only see the morning moon,
Whose light is fading there
Before the daylight's glare.","When I turned my look
Toward the place whence I had heard
Hototogisu,--
Lo! the only object there
Was the moon of early dawn."
82,Doin Hoshi,"思ひわび
さても命は
あるものを
憂きに堪へぬは
なみだなりけり","Omoi wabi
Satemo inochi wa
Aru mono o
Uki ni taenu wa
Namida nari keri","What wretchedness is mine, O Life!
With what deep mis'ry thou'rt opprest!
With my sad lot I strive in strife
That leaveth me nor peace nor rest;
The tears that flow
Down o'er my cheek my anguish show.","And I have my life still
Under wretchedness of thought,
But my own tears alone
Under sadness cannot stand.","How sad and gloomy is the world,
This world of sin and woe!
Ah! while I drift along Life's stream,
Tossed helpless to and fro,
My tears will ever flow.","Though in deep distress
(Through the cruel blow), my life
Still is left to me:--
But my tears I can not keep;
They can not my grief endure."
83,Kotai Kogu no Tayu Toshinari,"世の中よ
道こそなけれ
思ひ入る
山のおくにも
鹿ぞ鳴くなる","Yo no naka yo
Michi koso nakere
Omoi iru
Yama no oku ni mo
Shika zo naku naru","O'er th' world doth evil aye hold sway
I deemed, and far I fled away
Amis the hills:
But there the deer's sad cry, too, thrills.","Alas, ’tis the world;
There’s no way to follow,
Even into the deep of a hill
The deer’s cry I hear.","From pain and sorrow all around
There 's no escape, I fear;
To mountain wilds should I retreat,
There also I should hear
The cry of hunted deer.","Ah! within the world,
Way of flight I find nowhere.
I had thought to hide
In the mountains' farthest depths;
Yet e'en there the stag's cry sounds."
84,Fujiwara no Kiyosuke Ason,"ながらへば
またこの頃や
しのばれむ
憂しと見し世ぞ
今は恋しき","Nagaraeba
Mata konogoro ya
Shinobaren
Ushi to mishi yo zo
Ima wa koishiki","Were I to linger more in life,
What seemed of old a grievous strife
Would seem to be a burden slight,
To be borne almost with delight.","Were I to linger longer in life,
The present days would grow dear again:
Oh, now I long for
The days I deemed sad in past.","Time was when I despised my youth,
As boyhood only can;
What would I give for boyhood now,
When finishing life's span
An old decrepid man!","If I long should live,
Then, perchance, the present days
May be dear to me;--
Just as past time fraught with grief
Now comes fondly back in thought."
85,Junei Hoshi,"夜もすがら
物思ふ頃は
明けやらぬ
ねやのひまさへ
つれなかりけり","Yo mo sugara
Mono omou koro wa
Ake yaranu
Neya no hima sae
Tsure nakari keri","With wretched thoughts distracted I
On sleepless pallet restless lay
The livelong night: with wistful eye
I waited for the breaking day
Through chink of screen
That guards my chamber--peeping, seen.","All the night long I thought
It will never dawn:
Even the chink of my chamber door
Is heartless to me, not inviting the morn","All through the never-ending night
I lie awake and think;
In vain I look to try and see
The daybreak's feeble blink
Peep through the shutter's chink.","Now,-- as through the night
Longingly I pass the hours,
And the day's dawn lags,--
E'en my bedroom's crannied doors
Heartless are, indeed, to me."
86,Saigyo Hoshi,"なげけとて
月やは物を
思はする
かこちがほなる
わがなみだかな","Nageke tote
Tsuki ya wa mono o
Omowasuru
Kakochi gao naru
Waga namida kana","With deeper melancholy sways
The moonlight night my love-sick soul;
See how my face my woe betrays,
How down my cheek the tears roll.","The moon has nothing to make
Me think and cry,
But, alas, my own tears alone
Do lament and fall.","O'ercome with pity for this world,
My tears obscure my sight;
I wonder, can it be the moon
Whose melancholy light
Has saddened me to-night?","Is it then the moon
That has made me sad, as though
It had bade me grieve?
Lifting up my troubled face,--
Ah! the tears, the (mournful) tears!"
87,Jakuren Hoshi,"むらさめの
露もまだひぬ
まきの葉に
霧立ちのぼる
秋の夕暮","Murasame no
Tsuyu mo mada hinu
Maki no ha ni
Kiri tachinoboru
Aki no yugure","The passing shower onwards sweeps,--
Not yet upon the yew-leaves dried
Its scattered drops,--and lo! there creeps
The rising mist up yon hill-side
Of autumn e'en
At twilight's chilly hour seen.","The dews of the passing shower
Are not yet dried.
Lo, the mist rising up
Toward the maki leaves, this Autumn eve!","The rain, which fell from passing showers,
Like drops of dew, still lies
Upon the fir-tree needles, and
The mists of evening rise
Up to the autumn skies.","Lo, an autumn eve!
See the deep vale's mists arise
Mong the fir-tree's leaves
That still hold the dripping wet
Of the (chill day's) sudden showers."
88,Koko Monin no Betto,"難波江の
芦のかりねの
一夜ゆへ
身をつくしてや
恋わたるべき","Naniwae no
Ashi no karine no
Hitoyo yue
Mi o tsukushite ya
Koi wataru beki","The plans upon words in this Ode render it quite untranslateable, with any approach, at all events, to the force and point of the original. I have subjoined an explanation of it in the Appendix","’Twas a short one night love
At the Niniwa shore. (Short ’twas
Like a joint of the shore reed.)
Why do I long, exhausting me so?","I've seen thee but a few short hours;
As short, they seemed to me,
As bamboo reeds at Naniwa;
But tide-stakes in the sea
Can't gauge my love for thee.","For but one night's sake,
Short as is a node of reed
Grown in Naniwa bay,
Must I, henceforth, long for him
With my whole heart, till life's close?"
89,Shikishi Naishiuno,"玉の緒よ
絶えなば絶えね
ながらへば
しのぶることの
よはりもぞする","Tama no o yo
Taenaba taene
Nagaraeba
Shinoburu koto no
Yowari mo zo suru","Of my life or soon or late the thread,
The withering threat perforce must snap:
I almost would 'twere now, I dread
Of longer life the sure hap--
The secret of our love displayed,
For e'er our happiness low laid.","Oh, thread of my life,
Be torn off now if it must!
I fear in longer life
My secret would be hard to keep.","The ailments of advancing years
Though I should try to hide,
Some day the thread will break, the pearls
Be scattered far and wide;
Age cannot be defied.","Life! Thou string of gems!
If thou art to end, break now.
For, if yet I live,
All I do to hide ( my love)
May at last grow weak (and fail)."
90,Inpuku Monin no Osuke,"見せばやな
雄島のあまの
袖だにも
ぬれにぞぬれし
色はかはらず","Misebaya na
Ojima no ama no
Sode dani mo
Nure ni zo nureshi
Iro wa kawarazu","I would that I might show to thee
The island-fisher's oft-drenched sleeve,
I would that thine own eyes might see
How the salt waves their tints ne'er thieve;
From mine, alas!
Aye tear-bedewed, the colours pass.","I might show thee
How the Oshima island fishers’ sleeves
Never change their tints, though wet through.
But, alas, tearful sleeves of mine!","The fisher's clothes, though cheap, withstand
The drenching they receive;
But see I my floods of tears have blurred
The colours of my sleeve,
As for thy love I grieve.","Let me show him these!
E'en the fisherwomen's sleeves
On Ojima's shores,
Though wet through and wet again,
Do not change their dyer's hues."
91,Gokyogoku Sessho Sakino,"きりぎりす
鳴くや霜夜の
さむしろに
衣かたしき
ひとりかも寝む","Kirigirisu
Naku ya shimo yo no
Samushiro ni
Koromo katashiki
Hitori kamo nen","Now grasshopper's chirp the livelong night
I hear, now hoard-frost doth the ground
O'ercarpet, and in saddened plight,
My day-worn raiment yet unbound,
I strive in vain
On lonely couch reposo to gain.","List, the crickets sing!
Upon the mat of the frost night,
I, my raiment not yet unbound.
Have to sleep alone.","I'm sleeping all alone, and hear
The crickets round my head;
So cold and frosty is the night,
That I across the bed
My koromo have spread.","On a chilling mat,
Drawing close my folded quilt,
I must sleep alone,
While all through the frosty night
Sounds a cricket's (forlorn chirp)."
92,Nijonoin Sanuki,"わが袖は
潮干に見えぬ
沖の石の
人こそしらね
かはくまもなし","Waga sode wa
Shiohi ni mienu
Oki no ishi no
Hito koso shirane
Kawaku ma mo nashi","My sleeve is as the rook unseen,
Ne'er bared at lowest ebb of tide,
And none do guess my grief, I ween,
Now how my tear-drenched sleeve's ne'er dried.","My sleeves are like
The wide sea rocks unseen
Even at the lowest tide. Nobody would know
That their tears never dry.","My sleeve is wet with floods of tears
As here I sit and cry;
’Tis wetter than a low-tide rock,—
No one, howe’er he try,
Can find a spot that 's dry!","Like a rock at sea,
E'en at ebb-tide hid from view,
Is my tear-drenched sleeve:--
Never for a moment dry,
And unknown in human ken."
93,Kamakura no Udaijin,"世の中は
つねにもがもな
なぎさこぐ
あまの小舟の
綱手かなしも","Yo no naka wa
Tsune ni mo ga mo na
Nagisa kogu
Ama no obune no
Tsuna de kanashi mo","O that throughout an endless life
I might in peace dwell, far from strive!
For ever watch the fishing yawl,
And view the nets abundant haul:
How fair to me,
How pleasant such a lot would be!","Let my life be so!
Oh, to be carried away by the sight
Of a fisherman’s yawl at the shore,
And by his hauling of the net.","I love to watch the fishing-boats
Returning to the bay,
The crew, all straining at the oars,
And coiling ropes away;
For busy folk are they.","Would that this, our world,
Might be ever as it is!
What a lovely scene!
See that fisherwoman's boat,
Rope-drawn, rowed along the beach."
94,Sangi Masatsune,"みよし野の
山の秋風
さよふけて
ふるさとさむく
衣うつなり","Miyoshino no
Yama no akikaze
Sayo fukete
Furusato samuku
Koromo utsu nari","Now autumn-gusts sweep
Down Miyoshino's steep,
And far into the night so drear
The sound of beating of the cloth,
Borne to me on the night-wind forth,
From my lonely village home, I hear.","Down Miyoshino the Autumn wind blows,
The night is deep;
The beating sound of cloth
From my mountain home is cold.","Around Mount Miyoshino's crest
The autumn winds blow drear;
The villagers are beating cloth,
Their merry din I hear,
This night so cold and clear.","From Mount Yoshino
Blows a chill, autumnal wind,
In the deepening night.
Cold the ancient hamlet is;--
Sounds of beating cloth I hear."
95,Sakino Daisoko Jiyen,"おほけなく
うき世の民に
おほふかな
わがたつそまに
墨染の袖","Okenaku
Ukiyo no tami ni
Ou kana
Waga tatsu soma ni
Sumizome no sode","An ignorant man am I, unfit
O'er all the multitude of men
In dignity supreme to sit:
The simple priest's black robe again
I would, a humble dweller on
Wagatasoma, gladly don.","Ah, to save the sad world,
Dare I attempt!
At this Wagatatsu Soma,
See my black-robed sleeves!","Unfit to rule this wicked world
With all its pomp and pride,
I'd rather in my plain black robe
A humble priest abide,
Far up the mountain side.","Though I am not fit,
I have dared to shield the folk
Of this woeful world
With my black-dyed (sacred) sleeve:--
I, who live on Mount Hiei."
96,Nyudo Sakino Dajodaijin,"花さそふ
あらしの庭の
雪ならで
ふりゆくものは
わが身なりけり","Hana sasou
Arashi no niwa no
Yuki nara de
Furi yuku mono wa
Waga mi nari keri","The court with Sakura's flowers is strewn
As thick as though the drifted snow
Did thereon lay: and I too soon
As withered low shall lie 'neath blow
Of man's inevitable foe.","’Tis not the stormy snow
Luring the garden flower,
But what is falling fast
Is nothing but my own self.","This snow is not from blossoms white
Wind-scattered, here and there,
That whiten all my garden paths
And leave the branches bare;
’Tis age that snows my hair!","Not the snow of flowers,
That the hurrying wild-wind drags
Round the garden court,
Is it that here, withering, falls:--
That in truth is I, myself."
97,Gonchunagon Sadaiye,"こぬ人を
まつほの浦の
夕なぎに
やくやもしほの
身もこがれつつ","Konu hito o
Matsuho no ura no
Yunagi ni
Yaku ya moshio no
Mi mo kogare tsutsu","On Matsu'ho's shore, our meeting place,
At dusky hour of night, I wait
My longed-for mistress to embrace;
Ah, why then linger'st thou so late!
My ardent passion, than the fire
That heats the salt-pans, rages higher.","Ah, my heart pining
Like fire heats the salt water
In the evening calm of Matsuho shore!
Wouldn’t my love come?","Upon the shore of Matsu-hō
For thee I pine and sigh;
Though calm and cool the evening air,
These salt-pans caked and dry
Are not more parched than I!","Like the salt sea-weed,
Burning in the evening calm,
On Matsuo's shore,
All my being is aglow,
Waiting one who does not come."
98,Junii Iyetaka,"風そよぐ
ならの小川の
夕ぐれは
みそぎぞ夏の
しるしなりける","Kaze soyogu
Nara no ogawa no
Yugure wa
Misogi zo natsu no
Shirushi nari keru","O'er Nara's streamlet softly blow
The winds in the now dim twilight,
the Misogi, thereby set, show
That summer hath not yet gone quite.","The evening breeze blows
On the nara tree stream. To see
The Misogi feast might be the sign
Of Summer not yet gone.","The twilight dim, the gentle breeze
By Nara's little stream,
The splash of worshippers who wash
Before the shrine, all seem
A perfect summer's dream.","Lo! at Nara's brook
Evening comes, and rustling winds
Stir the oak-trees' leave;--
Not a sign of summer left
But the sacred bathing there."
99,Gotoba no In,"人も惜し
人も恨めし
あぢきなく
世を思ふゆゑに
もの思ふ身は","Hito mo oshi
Hito mo urameshi
Ajiki naku
Yo o omou yue ni
Mono omou mi wa","Some men me love, some men me hate
Inspire: whene'er I think upon
This miserable world, my gate
My pitiable doth seem to me.","I prize him
I resent him too
I deem this world miserable.
What wandering thought of mine?","How I regret my fallen friends
How I despise my foes!
And, tired of life, I only seek
To reach my long day's close,
And gain at last repose.","For some men I grieve;--
Some men are hateful to me;--
And this wretched world
To me, weighted down with care,
Is a place of misery."
100,Juntokuin,"百敷や
古き軒端の
しのぶにも
なほあまりある
むかしなりけり","Momoshiki ya
Furuki nokiba no
Shinobu ni mo
Nao amari aru
Mukashi nari keri","On th' hundred-chambered palace lo
A rent and tattered roof is seen,
Where rank Shinobu weeds do grow:--
How long, how hard out pain hath been!","Alas, the palace!
See the Shinobu vine
On the olden eaves! Oh, what longing
For the by-gone days!","My ancient Palace I regret,
Though rot attacks the eaves,
And o'er the roof the creeping vine
Spreads out and interweaves
Unpruned its straggling leaves.","O Imperial House!
When I think of former days,
How I long for thee!
More than e'en the clinging vines
Hanging 'neath thine ancient eaves."
